Strain,Shoots_uninoc_mg,Shoots_mg,mass
Bradyrhizobium#38,58.5,81.9,1.4
Bradyrhizobium#38,65,90.6,1.393846154
Bradyrhizobium#38,66.4,135.8,2.045180723
Bradyrhizobium#38,75.9,100.2,1.320158103
Bradyrhizobium#38,111.5,145.2,1.302242152
Bradyrhizobium#38,41.3,78.5,1.900726392
Bradyrhizobium#38,116.7,225.7,1.934018852
Bradyrhizobium#38,75.6,215.4,2.849206349
Bradyrhizobium#38,44.4,93.7,2.11036036
Bradyrhizobium#38,123.5,137.7,1.114979757
Bradyrhizobium#38,66.4,127,1.912650602
Bradyrhizobium#38,90.8,106.1,1.168502203
Bradyrhizobium#38,63.2,128.3,2.030063291
Bradyrhizobium#38,66.3,100,1.508295626
Bradyrhizobium#38,54.2,150.9,2.784132841
Bradyrhizobium#38,72,146.4,2.033333333
Bradyrhizobium#38,94.3,161.7,1.714740191
Bradyrhizobium#38,58.6,98.8,1.686006826
Bradyrhizobium#38,84.1,170.7,2.029726516
